City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,madras,13.0878,80.2785,35.99,73,20,6.69,IN,1682057219
270,tallulah,32.4085,-91.1868,21.0,73,0,3.6,US,1682057451
271,puerto san jose,13.9256,-90.8244,27.93,71,100,3.28,GT,1682057452
272,winnemucca,40.973,-117.7357,9.03,37,100,3.6,US,1682057452
273,kyabe,9.4515,18.9449,30.16,46,63,4.23,TD,1682057452
274,nanlong,31.3533,106.0631,14.55,94,100,5.88,CN,1682057453
275,pitanga,-24.7572,-51.7614,6.81,86,0,1.48,BR,1682057453
276,la gi,10.6667,107.7833,31.5,67,95,5.57,VN,1682057454
277,itaguacu,-19.8019,-40.8556,20.54,87,95,1.98,BR,1682057454
278,zeya,53.75,127.2667,4.2,40,100,5.46,RU,1682057455
279,saldanha,-33.0117,17.9442,12.91,70,51,3.28,ZA,1682057456
280,magadan,59.5667,150.8,1.65,81,100,10.8,RU,1682057453
281,ust-nera,64.5667,143.2,-0.37,82,100,2.52,RU,1682057456
282,el granada,37.5027,-122.4694,14.12,71,0,6.69,US,1682057457
283,sandnessjoen,66.0217,12.6316,6.06,94,75,6.69,NO,1682057457
284,fetsund,59.929,11.1625,7.25,84,66,1.9,NO,1682057458
285,geneseo,42.7959,-77.8169,11.99,78,85,3.23,US,1682057458
286,manta,-0.95,-80.7333,24.88,100,100,1.03,EC,1682057458
287,vanino,49.0869,140.2543,5.43,61,100,5.76,RU,1682057459
288,leh,34.1667,77.5833,0.85,63,94,3.22,IN,1682057459
289,zvenihorodka,49.0787,30.9675,7.19,94,100,7.02,UA,1682057460
290,haiku-pauwela,20.9219,-156.3051,23.36,90,40,3.09,US,1682057460
291,mejit,10.2753,170.8646,26.87,78,75,8.81,MH,1682057461
292,zaozersk,69.4005,32.4476,0.83,91,100,5.69,RU,1682057462
293,vernon,50.2581,-119.2691,6.63,60,100,4.47,CA,1682057462
294,ouadda,8.0777,22.4007,25.86,62,48,2.26,CF,1682057464
295,brisas de zicatela,15.8369,-97.0419,26.94,77,73,4.25,MX,1682057465
296,kaspiyskiy,45.3929,47.3707,13.96,63,79,4.44,RU,1682057465
297,cacequi,-29.8836,-54.825,9.02,66,0,2.3,BR,1682057465
298,holualoa,19.6228,-155.9522,23.91,88,75,3.6,US,1682057466
299,bullsbrook,-31.6667,116.0,28.28,21,0,2.57,AU,1682057467
300,tabou,4.423,-7.3528,26.08,85,100,2.0,CI,1682057468
301,chimala,-8.85,34.0167,20.08,84,94,0.71,TZ,1682057469
302,college,64.8569,-147.8028,3.97,52,20,0.0,US,1682057469
303,s'arenal,39.5,2.75,14.35,89,20,1.03,ES,1682057470
304,oranjemund,-28.55,16.4333,12.24,78,0,3.78,NA,1682057470
